@relation query4

@attribute script_run_id string
@attribute script_run_dir string
@attribute length {80,100,200}
@attribute similarity {40,65,80}
@attribute word_length {10,12,16}
@attribute fixed_length {1}
@attribute duration numeric
@attribute total_fasta_length numeric
@attribute total_read numeric
@attribute total_written numeric
@attribute total_written/total_fasta_length numeric
@attribute total_genomes {10,20,30,40}

@data
'allvsall-run001-1288384770','/dcap1/mluiza/gecko/peerj/30genomas',100,65,12,1,302.3370001316,113556442,447951817285,192472255931,1694,30
'allvsall-run002-1931276770','/dcap1/mluiza/gecko/peerj/30genomas',100,65,12,1,227.5559999943,113556442,447951817285,192472255931,1694,30
'allvsall-run003-1739612509','/dcap1/mluiza/gecko/peerj/30genomas',100,65,12,1,206.5280001163,113556442,447951817285,192472255931,1694,30
'allvsall-run001-1850123701','/dcap1/mluiza/gecko/peerj/40genomas',100,65,12,1,288.1940000057,149261021,787565924714,332253660463,2225,40
'allvsall-run002-374767950','/dcap1/mluiza/gecko/peerj/40genomas',100,65,12,1,332.0759999752,149261021,787565924714,332253660463,2225,40
'allvsall-run003-4016510474','/dcap1/mluiza/gecko/peerj/40genomas',100,65,12,1,344.9019999504,149261021,787565924714,332253660463,2225,40
'allvsall-run001-630115452','/dcap1/mluiza/gecko/peerj/10genomas',100,65,16,1,21.1510000229,41519077,34211808069,7553446794,181,10
'allvsall-run002-3225422666','/dcap1/mluiza/gecko/peerj/10genomas',100,65,16,1,22.120000124,41519077,34211808069,7553446794,181,10
'allvsall-run003-290591262','/dcap1/mluiza/gecko/peerj/10genomas',100,65,16,1,22.0280001163,41519077,34211808069,7553446794,181,10
'allvsall-run001-2806280409','/dcap1/mluiza/gecko/peerj/20genomas',100,65,16,1,28.5980000496,73285237,119801830520,13620695356,185,20
'allvsall-run002-1495838709','/dcap1/mluiza/gecko/peerj/20genomas',100,65,16,1,31.5559999943,73285237,119801830520,13620695356,185,20
'allvsall-run003-1476116274','/dcap1/mluiza/gecko/peerj/20genomas',100,65,16,1,30.6829998493,73285237,119801830520,13620695356,185,20
'allvsall-run001-1741857441','/dcap1/mluiza/gecko/peerj/30genomas',100,65,16,1,77.246999979,113556442,277159133190,21679284099,190,30
'allvsall-run002-4001014873','/dcap1/mluiza/gecko/peerj/30genomas',100,65,16,1,87.4330000877,113556442,277159133190,21679284099,190,30
'allvsall-run003-79163222','/dcap1/mluiza/gecko/peerj/30genomas',100,65,16,1,87.5099999905,113556442,277159133190,21679284099,190,30
'allvsall-run001-3013297681','/dcap1/mluiza/gecko/peerj/40genomas',100,65,16,1,230.6870000362,149261021,485377257827,30064452342,201,40
'allvsall-run002-3800893861','/dcap1/mluiza/gecko/peerj/40genomas',100,65,16,1,249.6470000744,149261021,485377257827,30064452342,201,40
'allvsall-run003-1802751949','/dcap1/mluiza/gecko/peerj/40genomas',100,65,16,1,237.0580000877,149261021,485377257827,30064452342,201,40
'allvsall-run001-4232143884','/dcap1/mluiza/gecko/peerj/10genomas',100,80,12,1,84.7860000134,41519077,51827571426,25168873286,606,10
'allvsall-run002-2084939258','/dcap1/mluiza/gecko/peerj/10genomas',100,80,12,1,92.2860000134,41519077,51827571426,25168873286,606,10
'allvsall-run003-2539197533','/dcap1/mluiza/gecko/peerj/10genomas',100,80,12,1,94.1719999313,41519077,51827571426,25168873286,606,10
'allvsall-run001-1348026968','/dcap1/mluiza/gecko/peerj/20genomas',100,80,12,1,125.006000042,73285237,188386929431,82205393445,1121,20
'allvsall-run002-3226236580','/dcap1/mluiza/gecko/peerj/20genomas',100,80,12,1,158.9390001297,73285237,188386929431,82205393445,1121,20
'allvsall-run003-1591459905','/dcap1/mluiza/gecko/peerj/20genomas',100,80,12,1,168.6480000019,73285237,188386929431,82205393445,1121,20
'allvsall-run001-3182180588','/dcap1/mluiza/gecko/peerj/30genomas',100,80,12,1,221.5230000019,113556442,447948282211,192467617467,1694,30
'allvsall-run002-1122424965','/dcap1/mluiza/gecko/peerj/30genomas',100,80,12,1,248.6080000401,113556442,447948282211,192467617467,1694,30
'allvsall-run003-2355526493','/dcap1/mluiza/gecko/peerj/30genomas',100,80,12,1,261.1959998608,113556442,447948282211,192467617467,1694,30
'allvsall-run001-3194452378','/dcap1/mluiza/gecko/peerj/40genomas',100,80,12,1,446.6779999733,149261021,787556747680,332241611845,2225,40
'allvsall-run002-3905504890','/dcap1/mluiza/gecko/peerj/40genomas',100,80,12,1,347.3410000801,149261021,787556747680,332241611845,2225,40
'allvsall-run003-2354940390','/dcap1/mluiza/gecko/peerj/40genomas',100,80,12,1,899.9490001202,149261021,787556747680,332241611845,2225,40
'allvsall-run001-389783833','/dcap1/mluiza/gecko/peerj/10genomas',100,80,16,1,20.9639999866,41519077,34210654275,7551928921,181,10
'allvsall-run002-1521002289','/dcap1/mluiza/gecko/peerj/10genomas',100,80,16,1,23.2790000439,41519077,34210654275,7551928921,181,10
'allvsall-run003-3938610690','/dcap1/mluiza/gecko/peerj/10genomas',100,80,16,1,23.8240001202,41519077,34210654275,7551928921,181,10
'allvsall-run001-1651627743','/dcap1/mluiza/gecko/peerj/20genomas',100,80,16,1,29.7170000076,73285237,119800176866,13618524082,185,20
'allvsall-run002-2389755545','/dcap1/mluiza/gecko/peerj/20genomas',100,80,16,1,32.3359999657,73285237,119800176866,13618524082,185,20
'allvsall-run003-463544660','/dcap1/mluiza/gecko/peerj/20genomas',100,80,16,1,31.7320001125,73285237,119800176866,13618524082,185,20
'allvsall-run001-3624279570','/dcap1/mluiza/gecko/peerj/30genomas',100,80,16,1,66.9279999733,113556442,277155676019,21674747189,190,30
'allvsall-run002-2203154621','/dcap1/mluiza/gecko/peerj/30genomas',100,80,16,1,70.8680000305,113556442,277155676019,21674747189,190,30
'allvsall-run003-1923203039','/dcap1/mluiza/gecko/peerj/30genomas',100,80,16,1,73.2040002346,113556442,277155676019,21674747189,190,30
'allvsall-run001-3496515641','/dcap1/mluiza/gecko/peerj/40genomas',100,80,16,1,201.0879998207,149261021,485368284603,30052669631,201,40
'allvsall-run002-631123553','/dcap1/mluiza/gecko/peerj/40genomas',100,80,16,1,218.6929998398,149261021,485368284603,30052669631,201,40
'allvsall-run003-3610297448','/dcap1/mluiza/gecko/peerj/40genomas',100,80,16,1,216.8249998093,149261021,485368284603,30052669631,201,40
'allvsall-run001-2444477148','/dcap1/mluiza/gecko/peerj/10genomas',80,40,10,1,803.8059999943,41519077,274141014417,247484036355,5960,10
'allvsall-run002-1155280317','/dcap1/mluiza/gecko/peerj/10genomas',80,40,10,1,588.4479999542,41519077,274141014417,247484036355,5960,10
'allvsall-run003-4078483668','/dcap1/mluiza/gecko/peerj/10genomas',80,40,10,1,1018.9330000877,41519077,274141014417,247484036355,5960,10
'allvsall-run001-3808030387','/dcap1/mluiza/gecko/peerj/20genomas',80,40,10,1,2429.3389999867,73285237,1020229446482,914052310768,12472,20
'allvsall-run002-1849381872','/dcap1/mluiza/gecko/peerj/20genomas',80,40,10,1,2145.4519999027,73285237,1020229446482,914052310768,12472,20
'allvsall-run003-3699185330','/dcap1/mluiza/gecko/peerj/20genomas',80,40,10,1,1944.121999979,73285237,1020229446482,914052310768,12472,20
'allvsall-run001-253206011','/dcap1/mluiza/gecko/peerj/30genomas',80,40,10,1,14303.6419999599,113556442,2517391379371,2261919709284,19918,30
'allvsall-run002-649550355','/dcap1/mluiza/gecko/peerj/30genomas',80,40,10,1,9543.0080001354,113556442,2517391379371,2261919709284,19918,30
'allvsall-run003-3657679149','/dcap1/mluiza/gecko/peerj/30genomas',80,40,10,1,7966.5960001946,113556442,2517391379371,2261919709284,19918,30
'allvsall-run001-4272184978','/dcap1/mluiza/gecko/peerj/40genomas',80,40,10,1,30922.8949999809,149261021,4398886495684,3943591194452,26420,40
'allvsall-run002-3638584454','/dcap1/mluiza/gecko/peerj/40genomas',80,40,10,1,29504.4180002213,149261021,4398886495684,3943591194452,26420,40
'allvsall-run003-4126289541','/dcap1/mluiza/gecko/peerj/40genomas',80,40,10,1,30906.3800001144,149261021,4398886495684,3943591194452,26420,40
'allvsall-run001-3097271913','/dcap1/mluiza/gecko/peerj/10genomas',80,40,12,1,121.9449999332,41519077,51832531692,25175385241,606,10
